question_text,category_name,difficulty_level,correct_answer
The Great Wall of China is visible from the moon.,General Knowledge,easy,FALSE
Jingle Bells was originally meant for Thanksgiving,General Knowledge,easy,TRUE
Nutella is produced by the German company Ferrero.,General Knowledge,easy,FALSE
"The bikini is named after the ""Bikini Atoll"", an island where the United States conducted tests on atomic bombs.",General Knowledge,medium,TRUE
French is an official language in Canada.,General Knowledge,easy,TRUE
"This is the correct spelling of ""Supercalifragilisticexpialidocious"".",General Knowledge,hard,TRUE
The mitochondria is the powerhouse of the cell.,General Knowledge,easy,TRUE
The Lego Group was founded in 1932.,General Knowledge,easy,TRUE
"""Typewriter"" is the longest word that can be typed using only the first row on a QWERTY keyboard.",General Knowledge,medium,TRUE
"The term ""Spam"" came before the food product ""Spam"".",General Knowledge,medium,FALSE
Video streaming website YouTube was purchased in it's entirety by Facebook for US$1.65 billion in stock.,General Knowledge,easy,FALSE
Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,General Knowledge,medium,FALSE
"Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017.",General Knowledge,hard,TRUE
Kissing someone for one minute burns about 2 calories.,General Knowledge,medium,TRUE
"""Santa Claus"" is a variety of melon.",General Knowledge,medium,TRUE
You can legally drink alcohol while driving in Mississippi.,General Knowledge,easy,TRUE
The scientific name for the Southern Lights is Aurora Australis?,General Knowledge,medium,TRUE
"""Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo."" is a grammatically correct sentence.",General Knowledge,medium,TRUE
Fast food restaurant chains Carl's Jr. and Hardee's are owned by the same company.,General Knowledge,medium,TRUE
"""Ananas"" is mostly used as the word for Pineapple in other languages.",General Knowledge,easy,TRUE
The vapor produced by e-cigarettes is actually water.,General Knowledge,medium,FALSE
Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,General Knowledge,easy,FALSE
It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,General Knowledge,easy,FALSE
"""Number 16 Bus Shelter"" was a child's name that was approved by the New Zealand government.",General Knowledge,hard,TRUE
The color orange is named after the fruit.,General Knowledge,easy,TRUE
A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,General Knowledge,easy,FALSE
"The word ""news"" originates from the first letters of the 4 main directions on a compass (North, East, West, South).",General Knowledge,medium,FALSE
Sitting for more than three hours a day can cut two years off a person's life expectancy.,General Knowledge,medium,TRUE
"When you cry in space, your tears stick to your face.",General Knowledge,easy,TRUE
The British organisation CAMRA stands for The Campaign for Real Ale.,General Knowledge,medium,TRUE
Cucumbers are usually more than 90% water.,General Knowledge,medium,TRUE
The average woman is 5 inches / 13 centimeters shorter than the average man.,General Knowledge,medium,TRUE
There are 86400 seconds in a day.,General Knowledge,medium,TRUE
Haggis is traditionally ate on Burns Night.,General Knowledge,medium,TRUE
"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",General Knowledge,easy,TRUE
"The French word for ""glass"" is ""glace"".",General Knowledge,medium,FALSE
Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,General Knowledge,medium,TRUE
The Sun rises from the North.,General Knowledge,easy,FALSE
"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",General Knowledge,easy,TRUE
"NCIS stands for ""Navy Corps Investigative Service""",General Knowledge,hard,FALSE
"""27 Club"" is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",General Knowledge,easy,TRUE
Bulls are attracted to the color red.,General Knowledge,easy,FALSE
Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,General Knowledge,medium,TRUE
The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,General Knowledge,medium,FALSE
The National Animal of Scotland is the Unicorn.,General Knowledge,easy,TRUE
"The French word to travel is ""Travail""",General Knowledge,medium,FALSE
"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",Entertainment: Books,hard,FALSE
"Harry Potter was born on July 31st, 1980.",Entertainment: Books,hard,TRUE
"The ""Berenstein Bears"" is the correct spelling of the educational children's book series' name.",Entertainment: Books,easy,FALSE
"""Green Eggs and Ham"" consists of only 50 different words.",Entertainment: Books,easy,TRUE
Stephen Chbosky wrote the book 'The Perks of Being A Wallflower'.,Entertainment: Books,easy,TRUE
"""Elementary, my dear Watson"" is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",Entertainment: Books,easy,TRUE
"Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel ""The Lord of The Rings"".",Entertainment: Books,easy,FALSE
The book 1984 was published in 1949.,Entertainment: Books,easy,TRUE
"The Harry Potter series of books, combined, are over 1,000,000 words in length.",Entertainment: Books,easy,TRUE
"The movie ""Tron"" received an Oscar nomination for Best Visual Effects.",Entertainment: Film,medium,FALSE
"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",Entertainment: Film,easy,FALSE
"Samuel L. Jackson had the words, 'Bad Motherf*cker' in-scripted on his lightsaber during the filming of Star Wars.",Entertainment: Film,easy,TRUE
"Brandon Routh plays the titular character in the movie ""John Wick"".",Entertainment: Film,easy,FALSE
"The weapon Clint Eastwood uses in ""Dirty Harry"" was a .44 Automag.",Entertainment: Film,hard,FALSE
Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,Entertainment: Film,easy,TRUE
"Leonardo DiCaprio won an Oscar for Best Actor in 2004's ""The Aviator"".",Entertainment: Film,easy,FALSE
"The 2010 film ""The Social Network"" is a biographical drama film about MySpace founder Tom Anderson.",Entertainment: Film,easy,FALSE
"In the original script of ""The Matrix"", the machines used humans as additional computing power instead of batteries.",Entertainment: Film,easy,TRUE
"""Cube"", ""Cube 2: Hypercube"" and ""Cube Zero"" were directed by the same person.",Entertainment: Film,hard,FALSE
The color of the pills in the Matrix were Blue and Yellow.,Entertainment: Film,medium,FALSE
Actor Tommy Chong served prison time.,Entertainment: Film,easy,TRUE
"""Minions"" was released on the June 10th, 2015.",Entertainment: Film,easy,FALSE
Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,Entertainment: Film,easy,TRUE
"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",Entertainment: Film,easy,TRUE
In Alfred Hitchcock's film 'Psycho' it is said he used chocolate syrup to simulate the blood in the famous shower scene from ,Entertainment: Film,easy,TRUE
"The Xenomorph from the science fiction film ""Alien"" has acidic blood.",Entertainment: Film,medium,TRUE
"There aren't any live-action clones in ""Star Wars: Episode III - Revenge of the Sith"".",Entertainment: Film,medium,TRUE
"In the movie The Revenant, DiCaprio's character hunts down the killer of his son.",Entertainment: Film,easy,TRUE
"The movie ""The Nightmare before Christmas"" was all done with physical objects.",Entertainment: Film,easy,TRUE
"The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953.",Entertainment: Music,hard,TRUE
"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",Entertainment: Music,easy,TRUE
American rapper Dr. Dre actually has a Ph.D. doctorate.,Entertainment: Music,easy,FALSE
"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",Entertainment: Music,medium,TRUE
EDM label Monstercat signs tracks instead of artists.,Entertainment: Music,medium,TRUE
"Pete Townshend's solo album, ""White City: A Novel"", is set in the metropolitan area of Chicago.",Entertainment: Music,hard,FALSE
"The alternative rock band, They Might Be Giants, released their album 'Flood' in 1990. ",Entertainment: Music,easy,TRUE
Scatman John's real name was John Paul Larkin.,Entertainment: Music,easy,TRUE
Eurobeat is primarily an Italian genre of music.,Entertainment: Music,easy,TRUE
Ashley Frangipane performs under the stage name Halsey.,Entertainment: Music,medium,TRUE
"""The Division Bell"" is the final album of the progressive rock band Pink Floyd.",Entertainment: Music,medium,FALSE
Stevie Wonder's real name is Stevland Hardaway Morris.,Entertainment: Music,easy,TRUE
Arcade Fire's 'The Suburbs' won the Album of the Year award in the 2011 Grammys.,Entertainment: Music,medium,TRUE
The band STRFKR was also briefly known as Pyramiddd.,Entertainment: Music,hard,TRUE
A Saxophone is a brass instrument.,Entertainment: Music,easy,FALSE
Nick Mason is the only member to appear on every Pink Floyd album.,Entertainment: Music,medium,TRUE
Muse is a British (English) rock band,Entertainment: Music,easy,TRUE
Metallica collaborated with Rowan Atkinson's Mr Bean on a 1992 comic relief single.,Entertainment: Music,medium,FALSE
Soulja Boy's 'Crank That' won a Grammy for Best Rap Song in 2007.,Entertainment: Music,medium,FALSE
Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,Entertainment: Music,easy,TRUE
"Dave Grohl recorded the Foo Fighters' debut, ""Foo Fighters,"" by himself.",Entertainment: Music,medium,TRUE
"The singer Billie Holiday was also known as ""Lady Day"".",Entertainment: Music,hard,TRUE
"""Neutral Milk Hotel"" is a real band.",Entertainment: Music,medium,TRUE
"The cover of The Beatles album ""Abbey Road"" featured a Volkswagen Beetle in the background.",Entertainment: Music,medium,TRUE
"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",Entertainment: Music,medium,TRUE
The music group Daft Punk got their name from a negative review they recieved.,Entertainment: Music,easy,TRUE
"The music video to The Buggle's ""Video Killed the Radio Star"" was the first music video to broadcast on MTV.",Entertainment: Music,easy,TRUE
